{x=2621,m=748,a=3275,s=2837}
{x=1088,m=549,a=142,s=2751}
{x=1306,m=420,a=1195,s=3}
{x=475,m=985,a=1456,s=359}
{x=3118,m=3737,a=426,s=180}
{x=2629,m=135,a=1119,s=280}
{x=1162,m=511,a=1598,s=1763}
{x=335,m=231,a=1940,s=669}
{x=386,m=678,a=280,s=974}
{x=998,m=400,a=146,s=1416}
{x=652,m=2610,a=951,s=3}
{x=1735,m=1361,a=592,s=2058}
{x=125,m=449,a=940,s=2999}
{x=3033,m=108,a=345,s=888}
{x=3099,m=929,a=320,s=465}
{x=580,m=38,a=959,s=1102}
{x=877,m=1638,a=2084,s=1213}
{x=1787,m=285,a=2397,s=965}
{x=1049,m=213,a=267,s=2642}
{x=21,m=27,a=2138,s=669}
{x=45,m=173,a=1716,s=2232}
{x=108,m=995,a=792,s=2712}
{x=1487,m=226,a=2204,s=984}
{x=918,m=471,a=85,s=2089}
{x=212,m=807,a=312,s=3264}
{x=1428,m=2409,a=742,s=1102}
{x=617,m=89,a=607,s=448}
{x=112,m=468,a=141,s=1799}
{x=821,m=1642,a=1733,s=314}
{x=1100,m=35,a=753,s=1455}
{x=1429,m=374,a=191,s=745}
{x=148,m=981,a=785,s=431}
{x=2143,m=333,a=638,s=428}
{x=3298,m=80,a=1149,s=92}
{x=500,m=103,a=1396,s=518}
{x=2066,m=725,a=249,s=1074}
{x=457,m=221,a=541,s=184}
{x=653,m=1762,a=1048,s=197}
{x=885,m=2586,a=673,s=171}
{x=721,m=1604,a=2023,s=100}
{x=327,m=1105,a=2837,s=27}
{x=937,m=948,a=58,s=1830}
{x=830,m=765,a=494,s=2536}
{x=44,m=861,a=420,s=391}
{x=845,m=356,a=2518,s=1018}
{x=238,m=1611,a=1216,s=2089}
{x=785,m=108,a=822,s=852}
{x=1780,m=718,a=2276,s=1000}
{x=334,m=1056,a=2009,s=239}
{x=469,m=490,a=1449,s=2905}
{x=3681,m=1288,a=942,s=1369}
{x=601,m=217,a=343,s=2660}
{x=169,m=2510,a=149,s=1150}
{x=358,m=2243,a=471,s=193}
{x=396,m=968,a=901,s=1878}
{x=1447,m=2368,a=1064,s=199}
{x=1574,m=336,a=1349,s=1770}
{x=1183,m=304,a=1019,s=441}
{x=387,m=1959,a=240,s=1067}
{x=314,m=507,a=1344,s=2112}
{x=644,m=205,a=127,s=339}
{x=1197,m=479,a=1559,s=1261}
{x=2182,m=656,a=1174,s=780}
{x=411,m=1425,a=312,s=148}
{x=858,m=123,a=502,s=388}
{x=54,m=82,a=162,s=3555}
{x=255,m=3087,a=282,s=106}
{x=146,m=1535,a=162,s=992}
{x=314,m=65,a=554,s=243}
{x=2333,m=368,a=195,s=464}
{x=3094,m=360,a=2674,s=137}
{x=2249,m=789,a=217,s=391}
{x=2458,m=1632,a=169,s=222}
{x=1126,m=299,a=2031,s=3265}
{x=756,m=2000,a=1762,s=1503}
{x=43,m=1905,a=442,s=969}
{x=1822,m=92,a=239,s=1815}
{x=428,m=613,a=584,s=659}
{x=966,m=82,a=9,s=132}
{x=1483,m=583,a=552,s=352}
{x=27,m=151,a=3528,s=3674}
{x=2651,m=1753,a=11,s=2070}
{x=1837,m=910,a=178,s=2018}
{x=1092,m=1390,a=1419,s=2375}
{x=687,m=1023,a=421,s=940}
{x=2184,m=52,a=164,s=2717}
{x=2836,m=586,a=669,s=1351}
{x=410,m=295,a=61,s=34}
{x=134,m=640,a=1092,s=1231}
{x=1154,m=2666,a=147,s=2033}
{x=2153,m=52,a=2865,s=2549}
{x=2261,m=5,a=630,s=1894}
{x=890,m=370,a=14,s=1333}
{x=246,m=3492,a=560,s=2558}
{x=1275,m=2566,a=624,s=2644}
{x=1353,m=1826,a=208,s=2045}
{x=987,m=2171,a=518,s=2096}
{x=2275,m=1106,a=264,s=3166}
{x=941,m=2470,a=283,s=629}
{x=2106,m=1615,a=329,s=3077}
{x=819,m=119,a=6,s=487}
{x=2854,m=28,a=1025,s=1484}
{x=357,m=1482,a=128,s=1438}
{x=315,m=48,a=2182,s=457}
{x=523,m=1565,a=360,s=2673}
{x=547,m=906,a=319,s=795}
{x=1132,m=2115,a=2356,s=1821}
{x=432,m=375,a=2699,s=331}
{x=652,m=1264,a=624,s=3095}
